baseline,runs,arrivals_mean,arrivals_std,admissions_mean,admissions_std,rejected_admissions_mean,rejected_admissions_std,admission_rate_mean,admission_rate_std,departures_mean,departures_std,active_services_mean,active_services_std,service_slots_mean,service_slots_std,sla_violations_mean,sla_violations_std,sla_violation_rate_mean,sla_violation_rate_std,availability_mean,availability_std,avg_end_to_end_delay_mean,avg_end_to_end_delay_std,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_bandwidth_utilization_mean,avg_bandwidth_utilization_std,avg_cpu_capacity_degradation_mean,avg_cpu_capacity_degradation_std,avg_bandwidth_capacity_degradation_mean,avg_bandwidth_capacity_degradation_std,prediction_runtime_seconds_mean,prediction_runtime_seconds_std,runtime_seconds_mean,runtime_seconds_std,avg_step_runtime_seconds_mean,avg_step_runtime_seconds_std,num_records_mean,num_records_std,migrations_mean,migrations_std,avg_risk_mean,avg_risk_std,avg_estimated_cost_mean,avg_estimated_cost_std,avg_realized_cost_mean,avg_realized_cost_std,avg_disruption_mean,avg_disruption_std,avg_post_risk_mean,avg_post_risk_std,avg_risk_reduction_mean,avg_risk_reduction_std,accepted_reconfigurations_mean,accepted_reconfigurations_std,node_migrations_mean,node_migrations_std,link_reroutes_mean,link_reroutes_std,avg_node_migration_cost_mean,avg_node_migration_cost_std,avg_link_reroute_cost_mean,avg_link_reroute_cost_std,reconfig_sla_violations_mean,reconfig_sla_violations_std
static,10,44.0,0.0,27.9,0.31622776601683794,16.1,0.31622776601683794,0.634090909090909,0.007186994682200856,27.9,0.31622776601683794,0.0,0.0,454.6,37.33392856668345,269.4,55.62413544896176,0.5896769049060692,0.09256377052796573,0.9979071005813852,0.00442195068631403,84.44755091803788,3.4611365319533376,0.0862917784334697,0.011377914784771504,0.06649586213270185,0.007200014371450298,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.0,0.0,0.3923399957362562,0.04337595323646204,0.003923399957362563,0.0004337595323646203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive_full,10,44.0,0.0,28.0,0.0,16.0,0.0,0.6363636363636364,0.0,28.0,0.0,0.0,0.0,456.2,37.21946921825845,210.1,59.87477673352018,0.45811205404500754,0.11191665674013707,0.9917005092345845,0.013076401503744442,79.84819233299694,4.050578922565808,0.0866591025723813,0.011607327425076362,0.06399655085799799,0.00635509203908077,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.0,0.0,1.036475301720202,0.16849345154898837,0.01036475301720202,0.0016849345154898842,180.8,44.47171385648785,180.8,44.47171385648785,0.0,0.0,1.0,0.0,0.9995661714422318,0.0003332505611120965,1.0,0.0,0.0,0.0,0.0,0.0,180.8,44.47171385648785,1470.1,298.67129832718183,1378.2,287.7598535816512,0.5999999999999984,9.985837411083435e-16,0.3995661714422316,0.00033325056111204224,180.8,44.47171385648785
proactive_heuristic,10,44.0,0.0,28.1,0.31622776601683794,15.9,0.31622776601683794,0.6386363636363637,0.007186994682200856,28.1,0.31622776601683794,0.0,0.0,458.4,41.07229398674164,276.8,57.1776957290943,0.5999614045911775,0.08674340740326036,0.9066779226511722,0.03712131846286226,85.49471938907996,4.1150771086586495,0.08736253212482459,0.01250014161912683,0.06809908347637379,0.007440813885158795,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.33061114673037084,0.0028882480158946462,1.3933857204858213,0.10633434214221674,0.013933857204858213,0.0010633434214221676,194.7,20.396350436073387,192.0,19.0496427496394,0.715815029836457,0.005045818630119992,1.0,0.0,0.9866527984834739,0.008151803889460773,0.9866527984834739,0.008151803889460773,0.5955188859327896,0.006697405573310202,0.12029614390366734,0.007594842898753469,192.0,19.0496427496394,1406.1,149.52327949557258,1276.8,144.3158572945699,0.5919916790900824,0.004891082333676678,0.3946611193933896,0.0032607215557839933,141.6,20.156057815621253
