seed,baseline,arrivals,admissions,rejected_admissions,admission_rate,departures,active_services,service_slots,sla_violations,sla_violation_rate,availability,avg_end_to_end_delay,avg_cpu_utilization,avg_bandwidth_utilization,avg_cpu_capacity_degradation,avg_bandwidth_capacity_degradation,prediction_runtime_seconds,runtime_seconds,avg_step_runtime_seconds,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,avg_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,reconfig_sla_violations
5,reactive_full,44,28,16,0.6363636363636364,28,0,503,219,0.43538767395626243,1.0,77.71641269456572,0.09345797632983968,0.0676234236734369,0.7338501585851263,0.6286157539220847,0.0,1.0187565246596932,0.010187565246596933,180.0,180.0,0.0,1.0,0.9995555555555556,1.0,0.0,0.0,180.0,1466.0,1359.0,0.5999999999999983,0.39955555555555533,180.0
5,proactive_heuristic,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,0.8966202783300199,85.67486950818183,0.09345797632983968,0.07225454518248488,0.7338501585851263,0.6286157539220847,0.3285790393128991,1.5232562460005283,0.015232562460005284,214.0,209.0,0.718531912134731,1.0,0.9766355140186916,0.9766355140186916,0.5916898132968204,0.12684209883791098,209.0,1538.0,1412.0,0.5859813084112128,0.39065420560747716,167.0
6,static,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,87.02053212914582,0.09479992305334642,0.06792364177812013,0.7334322425993802,0.6285315777016222,0.0,0.3629058070946485,0.003629058070946485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,reactive_full,44,28,16,0.6363636363636364,28,0,451,190,0.4212860310421286,0.9844789356984479,84.03491349647787,0.09479992305334642,0.06669514146350357,0.7334322425993802,0.6285315777016222,0.0,0.9963949101511389,0.00996394910151139,149.0,149.0,0.0,1.0,0.9997017151379567,1.0,0.0,0.0,149.0,1298.0,1226.0,0.5999999999999991,0.3997017151379558,149.0
6,proactive_heuristic,44,28,16,0.6363636363636364,28,0,451,279,0.6186252771618626,0.8802660753880266,93.80805523298777,0.09479992305334642,0.07453042432745605,0.7334322425993802,0.6285315777016222,0.3338770524132997,1.413605792913586,0.014136057929135859,174.0,174.0,0.7107075015620236,1.0,1.0,1.0,0.58473263980902,0.12597486175300376,174.0,1253.0,1150.0,0.5999999999999984,0.3999999999999996,129.0
7,static,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.71292958600198,0.0861473900721991,0.05999749265668928,0.7333168249461752,0.6283953800927532,0.0,0.36445441795513034,0.0036445441795513035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,reactive_full,44,28,16,0.6363636363636364,28,0,434,228,0.5253456221198156,1.0,78.95444650151173,0.0861473900721991,0.059734182206308765,0.7333168249461752,0.6283953800927532,0.0,1.0230064997449517,0.010230064997449518,201.0,201.0,0.0,1.0,1.0,1.0,0.0,0.0,201.0,1583.0,1470.0,0.5999999999999979,0.4000000000000003,201.0
7,proactive_heuristic,44,28,16,0.6363636363636364,28,0,434,306,0.7050691244239631,0.9516129032258065,86.6097865665738,0.0861473900721991,0.0644802875484968,0.7333168249461752,0.6283953800927532,0.3262326850090176,1.3706018328666687,0.013706018328666686,174.0,171.0,0.7121200714136636,1.0,0.9827586206896551,0.9827586206896551,0.6023547448700439,0.10976532654362026,171.0,1311.0,1215.0,0.5896551724137916,0.39310344827586147,134.0
8,static,44,28,16,0.6363636363636364,28,0,407,179,0.4398034398034398,1.0,78.21408094043063,0.06723433322287269,0.05542063971408643,0.7325683986292839,0.628461369193987,0.0,0.3586165145970881,0.003586165145970881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,reactive_full,44,28,16,0.6363636363636364,28,0,407,113,0.27764127764127766,1.0,74.31914009599213,0.06723433322287269,0.053821543449874484,0.7325683986292839,0.628461369193987,0.0,0.8078510735649616,0.008078510735649615,113.0,113.0,0.0,1.0,0.9989886219974715,1.0,0.0,0.0,113.0,975.0,873.0,0.6000000000000006,0.39898862199747076,113.0
8,proactive_heuristic,44,28,16,0.6363636363636364,28,0,407,173,0.4250614250614251,0.9459459459459459,78.17749730263317,0.06723433322287269,0.05568439596664033,0.7325683986292839,0.628461369193987,0.3305013154167682,1.189455127576366,0.01189455127576366,179.0,179.0,0.7058653271063094,1.0,1.0,1.0,0.594555988352175,0.11130933875413439,179.0,1304.0,1125.0,0.5999999999999983,0.39999999999999974,111.0
9,static,44,28,16,0.6363636363636364,28,0,410,223,0.5439024390243903,1.0,84.2828486209603,0.07179354651042034,0.0584515871871871,0.7339974206751697,0.6283003466790629,0.0,0.45091794757172465,0.004509179475717246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,reactive_full,44,28,16,0.6363636363636364,28,0,410,200,0.4878048780487805,0.9878048780487805,82.73152278929611,0.07179354651042034,0.05629722189379421,0.7339974206751697,0.6283003466790629,0.0,0.9829631673637778,0.009829631673637778,185.0,185.0,0.0,1.0,0.9997297297297296,1.0,0.0,0.0,185.0,1540.0,1454.0,0.5999999999999982,0.39972972972972953,185.0
9,proactive_heuristic,44,28,16,0.6363636363636364,28,0,410,230,0.5609756097560976,0.9317073170731708,84.77004524518985,0.07179354651042034,0.05836558924653372,0.7339974206751697,0.6283003466790629,0.32816067757084966,1.3350745008792728,0.013350745008792728,189.0,186.0,0.7141468427050369,1.0,0.9841269841269841,0.9841269841269841,0.5997100693856457,0.11443677331939091,186.0,1378.0,1270.0,0.5904761904761886,0.39365079365079353,139.0
