seed,baseline,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,avg_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,sla_violations
0,no_reconfiguration,6.0,0.0,0.5903555654713677,0.0,0.0,0.0,0.5903555654713677,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,reactive,6.0,1.0,0.5903555654713677,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5818481647034383,0.00850740076792944,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
0,proactive_heuristic,6.0,1.0,0.5575423193125365,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5501980930683202,0.007344226244216166,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
1,no_reconfiguration,6.0,0.0,0.5965654625350402,0.0,0.0,0.0,0.5965654625350402,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,reactive,6.0,1.0,0.5965654625350402,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5879468776376192,0.008618584897420881,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
1,proactive_heuristic,6.0,1.0,0.5610566072605757,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5512435712567013,0.009813036003874407,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
2,no_reconfiguration,6.0,0.0,0.6018215060867887,0.0,0.0,0.0,0.6018215060867887,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2,reactive,6.0,1.0,0.6018215060867887,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5945626032047181,0.007258902882070595,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
2,proactive_heuristic,6.0,1.0,0.5659107562581388,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.5561337064964594,0.009777049761679433,1.0,3.0,2.0,0.09999999999999999,0.06666666666666667,1.0
