seed,baseline,arrivals,admissions,rejected_admissions,admission_rate,departures,active_services,service_slots,sla_violations,sla_violation_rate,availability,avg_end_to_end_delay,avg_cpu_utilization,avg_bandwidth_utilization,avg_cpu_capacity_degradation,avg_bandwidth_capacity_degradation,prediction_runtime_seconds,selector_candidate_count,selector_selected_count,selector_pending_count,avg_active_pending_plans,max_active_pending_plans,runtime_seconds,avg_step_runtime_seconds,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,avg_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,reconfig_sla_violations
0,static,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,87.0524101186985,0.09109877450550392,0.06868715392316097,0.7341481452950496,0.6282156948625323,0.0,0,0,0,0.0,0,0.4323862409219146,0.004323862409219146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reactive_full,44,28,16,0.6363636363636364,28,0,461,245,0.5314533622559653,0.9848156182212582,81.89355367797597,0.09477201589461988,0.06855613485991116,0.7341481452950496,0.6282156948625323,0.0,0,0,0,0.0,0,1.1278095762245357,0.011278095762245357,183.0,183.0,0.0,1.0,0.9996877439500391,1.0,0.0,0.0,183.0,1441.0,1360.0,0.5999999999999982,0.39968774395003887,183.0
0,proactive_heuristic,44,28,16,0.6363636363636364,28,0,461,267,0.579175704989154,0.9045553145336226,83.08058083569993,0.09477201589461988,0.06815391594272095,0.7341481452950496,0.6282156948625323,0.3082654441241175,0,0,0,0.0,0,1.2662718950305134,0.012662718950305135,209.0,173.0,0.6348861533658142,1.0,0.8277511961722488,0.8277511961722488,0.616471862038178,0.01841429132763631,173.0,1365.0,1246.0,0.49665071770334795,0.33110047846889906,148.0
0,stgcn_all_risky,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,86.92267497191195,0.09109877450550392,0.06858966420272504,0.7341481452950496,0.6282156948625323,2.9577856815885752,215,215,0,0.0,0,3.490877903532237,0.03490877903532237,1.0,1.0,0.5069898068904877,1.0,1.0,1.0,0.47790060440699256,0.03870909412701928,1.0,2.0,1.0,0.6,0.4,0.0
0,stgcn_topk_heuristic,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,86.92267497191195,0.09109877450550392,0.06858966420272504,0.7341481452950496,0.6282156948625323,1.0683429965283722,215,48,0,0.0,0,1.5249063957016915,0.015249063957016916,1.0,1.0,0.5069898068904877,1.0,1.0,1.0,0.47790060440699256,0.03870909412701928,1.0,2.0,1.0,0.6,0.4,0.0
1,static,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,0.0,0,0,0,0.0,0,0.4631827180273831,0.004631827180273831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,reactive_full,44,28,16,0.6363636363636364,28,0,508,345,0.6791338582677166,1.0,85.85783239837825,0.0972627395831501,0.07405921166800188,0.7333346200752975,0.62864093299388,0.0,0,0,0,0.0,0,1.3865137766115367,0.013865137766115367,285.0,285.0,0.0,1.0,0.999391812865497,1.0,0.0,0.0,285.0,2147.0,2015.0,0.5999999999999968,0.3993918128654989,285.0
1,proactive_heuristic,44,28,16,0.6363636363636364,28,0,508,381,0.75,0.9311023622047244,86.9896191094899,0.0972627395831501,0.07585174623605319,0.7333346200752975,0.62864093299388,0.30964860366657376,0,0,0,0.0,0,1.3439725993666798,0.013439725993666798,234.0,205.0,0.6228282444040074,1.0,0.8760683760683761,0.8760683760683761,0.6030274969469661,0.01980074745704112,205.0,1641.0,1514.0,0.5256410256410237,0.35042735042735085,174.0
1,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,1.074509127996862,219,219,0,0.0,0,1.547747439937666,0.01547747439937666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,1.0664869772735983,219,47,0,0.0,0,1.601160011254251,0.01601160011254251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,static,44,28,16,0.6363636363636364,28,0,424,263,0.6202830188679245,1.0,86.86708134528828,0.07309898953851193,0.06263190537581516,0.7327643136134562,0.6284430257055645,0.0,0,0,0,0.0,0,0.37956645246595144,0.0037956645246595144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,reactive_full,44,28,16,0.6363636363636364,28,0,424,204,0.4811320754716981,0.9599056603773585,81.3432434701966,0.07309898953851193,0.05993330747894542,0.7327643136134562,0.6284430257055645,0.0,0,0,0,0.0,0,1.0575992101803422,0.010575992101803423,186.0,186.0,0.0,1.0,0.9994777265745008,1.0,0.0,0.0,186.0,1532.0,1450.0,0.5999999999999981,0.39947772657450065,186.0
2,proactive_heuristic,44,28,16,0.6363636363636364,28,0,424,251,0.5919811320754716,0.9528301886792453,87.17113647632513,0.07309898953851193,0.06211728542843674,0.7327643136134562,0.6284430257055645,0.30867019831202924,0,0,0,0.0,0,1.1955875740386546,0.011955875740386545,193.0,173.0,0.6304088424248137,1.0,0.8963730569948186,0.8963730569948186,0.6095121470993017,0.020896695325512145,173.0,1310.0,1195.0,0.5378238341968897,0.35854922279792695,132.0
2,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,424,250,0.589622641509434,1.0,86.1082994413642,0.07309898953851193,0.06231146802010868,0.7327643136134562,0.6284430257055645,1.0688757300376892,168,168,0,0.0,0,1.594919242663309,0.01594919242663309,2.0,2.0,0.5029411092400551,1.0,1.0,1.0,0.47605434887939024,0.03644789506991705,2.0,5.0,3.0,0.6,0.4,1.0
2,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,424,263,0.6202830188679245,1.0,87.01207170956837,0.07309898953851193,0.0628407371971234,0.7327643136134562,0.6284430257055645,1.067339593777433,171,39,0,0.0,0,1.5881781079806387,0.015881781079806388,1.0,1.0,0.5025496631860733,1.0,1.0,1.0,0.4710279802481333,0.04056592285633087,1.0,2.0,1.0,0.6,0.4,0.0
3,static,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08028853189424,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,0.0,0,0,0,0.0,0,0.38447269261814654,0.0038447269261814654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reactive_full,44,28,16,0.6363636363636364,28,0,490,163,0.3326530612244898,1.0,73.48648299122526,0.09796424180287662,0.06441812813720943,0.7334594256205763,0.6283752513928964,0.0,0,0,0,0.0,0,0.9454873988870531,0.009454873988870531,152.0,152.0,0.0,1.0,1.0,1.0,0.0,0.0,152.0,1252.0,1176.0,0.599999999999999,0.399999999999999,152.0
3,proactive_heuristic,44,28,16,0.6363636363636364,28,0,490,256,0.5224489795918368,0.9,81.93834371011684,0.09796424180287662,0.07030922091463462,0.7334594256205763,0.6283752513928964,0.3101517530158162,0,0,0,0.0,0,1.2875108364969492,0.012875108364969492,217.0,193.0,0.6215445810871306,0.9971033574720211,0.8865042791310073,0.8894009216589862,0.6016437679295391,0.019900813157591932,193.0,1479.0,1363.0,0.5316655694535861,0.3548387096774195,142.0
