baseline,runs,arrivals_mean,arrivals_std,admissions_mean,admissions_std,rejected_admissions_mean,rejected_admissions_std,admission_rate_mean,admission_rate_std,departures_mean,departures_std,active_services_mean,active_services_std,service_slots_mean,service_slots_std,sla_violations_mean,sla_violations_std,sla_violation_rate_mean,sla_violation_rate_std,availability_mean,availability_std,avg_end_to_end_delay_mean,avg_end_to_end_delay_std,avg_cpu_utilization_mean,avg_cpu_utilization_std,avg_bandwidth_utilization_mean,avg_bandwidth_utilization_std,avg_cpu_capacity_degradation_mean,avg_cpu_capacity_degradation_std,avg_bandwidth_capacity_degradation_mean,avg_bandwidth_capacity_degradation_std,prediction_runtime_seconds_mean,prediction_runtime_seconds_std,selector_candidate_count_mean,selector_candidate_count_std,selector_selected_count_mean,selector_selected_count_std,selector_pending_count_mean,selector_pending_count_std,avg_active_pending_plans_mean,avg_active_pending_plans_std,max_active_pending_plans_mean,max_active_pending_plans_std,runtime_seconds_mean,runtime_seconds_std,avg_step_runtime_seconds_mean,avg_step_runtime_seconds_std,num_records_mean,num_records_std,migrations_mean,migrations_std,avg_risk_mean,avg_risk_std,avg_estimated_cost_mean,avg_estimated_cost_std,avg_realized_cost_mean,avg_realized_cost_std,total_realized_cost_mean,total_realized_cost_std,avg_disruption_mean,avg_disruption_std,total_disruption_mean,total_disruption_std,avg_post_risk_mean,avg_post_risk_std,avg_risk_reduction_mean,avg_risk_reduction_std,accepted_reconfigurations_mean,accepted_reconfigurations_std,node_migrations_mean,node_migrations_std,link_reroutes_mean,link_reroutes_std,avg_node_migration_cost_mean,avg_node_migration_cost_std,avg_link_reroute_cost_mean,avg_link_reroute_cost_std,total_node_migration_cost_mean,total_node_migration_cost_std,total_link_reroute_cost_mean,total_link_reroute_cost_std,reconfig_sla_violations_mean,reconfig_sla_violations_std
static,10,44.0,0.0,27.9,0.31622776601683794,16.1,0.31622776601683794,0.634090909090909,0.007186994682200856,27.9,0.31622776601683794,0.0,0.0,454.6,37.33392856668345,269.4,55.62413544896176,0.5896769049060692,0.09256377052796573,0.9979071005813852,0.00442195068631403,84.44755091803788,3.4611365319533376,0.0862917784334697,0.011377914784771504,0.06649586213270185,0.007200014371450298,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44679276188835504,0.047496570515117326,0.00446792761888355,0.00047496570515117345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive_full,10,44.0,0.0,28.0,0.0,16.0,0.0,0.6363636363636364,0.0,28.0,0.0,0.0,0.0,456.2,37.21946921825845,210.1,59.87477673352018,0.45811205404500754,0.11191665674013707,0.9917005092345845,0.013076401503744442,79.84819233299694,4.050578922565808,0.0866591025723813,0.011607327425076362,0.06399655085799799,0.00635509203908077,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.126759674702771,0.16978729303835347,0.01126759674702771,0.0016978729303835348,180.8,44.47171385648785,180.8,44.47171385648785,0.0,0.0,1.0,0.0,0.9995661714422318,0.0003332505611120965,180.72320634920635,44.45014648763937,1.0,0.0,180.8,44.47171385648785,0.0,0.0,0.0,0.0,180.8,44.47171385648785,1470.1,298.67129832718183,1378.2,287.7598535816512,0.5999999999999984,9.985837411083435e-16,0.3995661714422316,0.00033325056111204224,108.47999999999968,26.683028313892457,72.24320634920635,17.767167896086796,180.8,44.47171385648785
proactive_heuristic,10,44.0,0.0,27.9,0.31622776601683794,16.1,0.31622776601683794,0.634090909090909,0.007186994682200856,27.9,0.31622776601683794,0.0,0.0,454.1,34.7992656372069,273.1,57.3438943761428,0.5981078447793992,0.09694513696633035,0.9230436415291648,0.024534923462068543,84.63950255998361,3.9426893843474833,0.08610469971554859,0.01137661722998613,0.06708113197929592,0.006853851218572395,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,0.3328617742517963,0.007318193613406217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.329072753759101,0.08358864844675558,0.01329072753759101,0.0008358864844675559,200.0,22.35571018280962,176.3,18.690758262960987,0.6269174591350284,0.004675046505595997,0.9997103357472021,0.0009159987955721471,0.8820129319087849,0.022204781025676485,176.23714285714286,18.629311748849652,0.8823025961615828,0.022288616532683745,176.3,18.690758262960987,0.6070428537404264,0.0049027539530665295,0.019874605394602028,0.0010081827207129312,176.3,18.690758262960987,1368.4,166.67946617518442,1256.1,166.22839040843107,0.5291840593427679,0.013317752046056557,0.35282887256601525,0.008887553195140032,105.73714285714257,11.1726488189977,70.49999999999994,7.456689763039862,141.2,21.90281564852641
stgcn_all_risky,10,44.0,0.0,27.9,0.31622776601683794,16.1,0.31622776601683794,0.634090909090909,0.007186994682200856,27.9,0.31622776601683794,0.0,0.0,454.6,37.33392856668345,268.1,55.94133832268704,0.5866108671702202,0.09194305447025272,0.9979071005813852,0.00442195068631403,84.23979649696216,3.526046081480352,0.0862917784334697,0.011377914784771504,0.06634950912291923,0.007255489824976456,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,2.136213362729177,0.10124205875959745,200.1,23.496808293893874,200.1,23.496808293893874,0.0,0.0,0.0,0.0,0.0,0.0,2.721529900981113,0.10654981159526304,0.027215299009811133,0.0010654981159526308,1.6,1.0749676997731399,1.6,1.0749676997731399,0.45532567674915,0.16003171036618932,0.84,0.35023801430836526,0.84,0.35023801430836526,1.54,1.12763272192481,0.9,0.31622776601683794,1.6,1.0749676997731399,0.4329549345705244,0.15238205225678053,0.031225513170162835,0.015266571790225768,1.6,1.0749676997731399,3.2,2.2997584414213788,1.7,1.1595018087284057,0.5,0.21602468994692867,0.34,0.1349897115421106,0.9199999999999999,0.681175454637056,0.6200000000000001,0.4467164151400255,0.1,0.31622776601683794
stgcn_topk_heuristic,10,44.0,0.0,27.9,0.31622776601683794,16.1,0.31622776601683794,0.634090909090909,0.007186994682200856,27.9,0.31622776601683794,0.0,0.0,454.6,37.33392856668345,269.4,55.62413544896176,0.5896769049060692,0.09256377052796573,0.9979071005813852,0.00442195068631403,84.39004328462966,3.460131021814406,0.0862917784334697,0.011377914784771504,0.06645393019853867,0.007183381319477925,0.7334040682610994,0.0005037450297520123,0.6284232481432702,0.000144615211979665,2.094281885190867,0.02007913952331624,202.1,22.22336108192858,44.0,3.5276684147527875,0.0,0.0,0.0,0.0,0.0,0.0,2.6250580541556703,0.048391139874941494,0.0262505805415567,0.0004839113987494148,0.6,0.9660917830792959,0.6,0.9660917830792959,0.2022338698307673,0.26108602740403236,0.4,0.5163977794943222,0.4,0.5163977794943222,0.6,0.9660917830792959,0.4,0.5163977794943222,0.6,0.9660917830792959,0.19034007208214865,0.24573811019078515,0.01564314944876565,0.020213741394233167,0.6,0.9660917830792959,1.2,1.9321835661585918,0.6,0.9660917830792959,0.24,0.30983866769659335,0.16,0.2065591117977289,0.36,0.5796550698475775,0.24000000000000002,0.3864367132317184,0.0,0.0
