seed,baseline,arrivals,admissions,rejected_admissions,admission_rate,departures,active_services,service_slots,sla_violations,sla_violation_rate,availability,avg_end_to_end_delay,avg_cpu_utilization,avg_bandwidth_utilization,avg_cpu_capacity_degradation,avg_bandwidth_capacity_degradation,prediction_runtime_seconds,selector_candidate_count,selector_selected_count,selector_pending_count,avg_active_pending_plans,max_active_pending_plans,runtime_seconds,avg_step_runtime_seconds,num_records,migrations,avg_risk,avg_estimated_cost,avg_realized_cost,total_realized_cost,avg_disruption,total_disruption,avg_post_risk,avg_risk_reduction,accepted_reconfigurations,node_migrations,link_reroutes,avg_node_migration_cost,avg_link_reroute_cost,total_node_migration_cost,total_link_reroute_cost,reconfig_sla_violations
0,static,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,87.0524101186985,0.09109877450550392,0.06868715392316097,0.7341481452950496,0.6282156948625323,0.0,0,0,0,0.0,0,0.4477869840338826,0.004477869840338826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,reactive_full,44,28,16,0.6363636363636364,28,0,461,245,0.5314533622559653,0.9848156182212582,81.89355367797597,0.09477201589461988,0.06855613485991116,0.7341481452950496,0.6282156948625323,0.0,0,0,0,0.0,0,1.186838247347623,0.01186838247347623,183.0,183.0,0.0,1.0,0.9996877439500391,182.94285714285715,1.0,183.0,0.0,0.0,183.0,1441.0,1360.0,0.5999999999999982,0.39968774395003887,109.79999999999967,73.14285714285711,183.0
0,proactive_heuristic,44,28,16,0.6363636363636364,28,0,461,267,0.579175704989154,0.9045553145336226,83.08058083569993,0.09477201589461988,0.06815391594272095,0.7341481452950496,0.6282156948625323,0.33916867710649967,0,0,0,0.0,0,1.3749452224001288,0.013749452224001289,209.0,173.0,0.6348861533658142,1.0,0.8277511961722488,173.0,0.8277511961722488,173.0,0.616471862038178,0.01841429132763631,173.0,1365.0,1246.0,0.49665071770334795,0.33110047846889906,103.79999999999973,69.1999999999999,148.0
0,stgcn_all_risky,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,86.92267497191195,0.09109877450550392,0.06858966420272504,0.7341481452950496,0.6282156948625323,2.4216761006973684,215,215,0,0.0,0,3.0061974606942385,0.030061974606942387,1.0,1.0,0.5069898068904877,1.0,1.0,1.0,1.0,1.0,0.47790060440699256,0.03870909412701928,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
0,stgcn_topk_heuristic,44,27,17,0.6136363636363636,27,0,445,254,0.5707865168539326,1.0,86.92267497191195,0.09109877450550392,0.06858966420272504,0.7341481452950496,0.6282156948625323,2.0868658719118685,215,48,0,0.0,0,2.5783410158474,0.025783410158473997,1.0,1.0,0.5069898068904877,1.0,1.0,1.0,1.0,1.0,0.47790060440699256,0.03870909412701928,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
1,static,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,0.0,0,0,0,0.0,0,0.5295891300775111,0.005295891300775111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,reactive_full,44,28,16,0.6363636363636364,28,0,508,345,0.6791338582677166,1.0,85.85783239837825,0.0972627395831501,0.07405921166800188,0.7333346200752975,0.62864093299388,0.0,0,0,0,0.0,0,1.5149428646545857,0.015149428646545858,285.0,285.0,0.0,1.0,0.999391812865497,284.82666666666665,1.0,285.0,0.0,0.0,285.0,2147.0,2015.0,0.5999999999999968,0.3993918128654989,170.9999999999991,113.8266666666672,285.0
1,proactive_heuristic,44,28,16,0.6363636363636364,28,0,508,381,0.75,0.9311023622047244,86.9896191094899,0.0972627395831501,0.07585174623605319,0.7333346200752975,0.62864093299388,0.3342071564402431,0,0,0,0.0,0,1.4398649809882045,0.014398649809882045,234.0,205.0,0.6228282444040074,1.0,0.8760683760683761,205.0,0.8760683760683761,205.0,0.6030274969469661,0.01980074745704112,205.0,1641.0,1514.0,0.5256410256410237,0.35042735042735085,122.99999999999955,82.0000000000001,174.0
1,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,2.075718644540757,219,219,0,0.0,0,2.5964660313911736,0.025964660313911737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,508,372,0.7322834645669292,0.9901574803149606,87.97122806254411,0.0972627395831501,0.07661348876745178,0.7333346200752975,0.62864093299388,2.1068442941177636,219,47,0,0.0,0,2.6984826154075563,0.02698482615407556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,static,44,28,16,0.6363636363636364,28,0,424,263,0.6202830188679245,1.0,86.86708134528828,0.07309898953851193,0.06263190537581516,0.7327643136134562,0.6284430257055645,0.0,0,0,0,0.0,0,0.3944391612894833,0.003944391612894833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,reactive_full,44,28,16,0.6363636363636364,28,0,424,204,0.4811320754716981,0.9599056603773585,81.3432434701966,0.07309898953851193,0.05993330747894542,0.7327643136134562,0.6284430257055645,0.0,0,0,0,0.0,0,1.1380264754407108,0.011380264754407107,186.0,186.0,0.0,1.0,0.9994777265745008,185.90285714285716,1.0,186.0,0.0,0.0,186.0,1532.0,1450.0,0.5999999999999981,0.39947772657450065,111.59999999999965,74.30285714285712,186.0
2,proactive_heuristic,44,28,16,0.6363636363636364,28,0,424,251,0.5919811320754716,0.9528301886792453,87.17113647632513,0.07309898953851193,0.06211728542843674,0.7327643136134562,0.6284430257055645,0.32174290413968265,0,0,0,0.0,0,1.2601902636233717,0.012601902636233717,193.0,173.0,0.6304088424248137,1.0,0.8963730569948186,173.0,0.8963730569948186,173.0,0.6095121470993017,0.020896695325512145,173.0,1310.0,1195.0,0.5378238341968897,0.35854922279792695,103.79999999999973,69.1999999999999,132.0
2,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,424,250,0.589622641509434,1.0,86.1082994413642,0.07309898953851193,0.06231146802010868,0.7327643136134562,0.6284430257055645,2.1050200855825096,168,168,0,0.0,0,2.7182383318431675,0.027182383318431674,2.0,2.0,0.5029411092400551,1.0,1.0,2.0,1.0,2.0,0.47605434887939024,0.03644789506991705,2.0,5.0,3.0,0.6,0.4,1.2,0.8,1.0
2,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,424,263,0.6202830188679245,1.0,87.01207170956837,0.07309898953851193,0.0628407371971234,0.7327643136134562,0.6284430257055645,2.0671293770428747,171,39,0,0.0,0,2.6410260980483145,0.026410260980483144,1.0,1.0,0.5025496631860733,1.0,1.0,1.0,1.0,1.0,0.4710279802481333,0.04056592285633087,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
3,static,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08028853189424,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,0.0,0,0,0,0.0,0,0.41570880357176065,0.004157088035717607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,reactive_full,44,28,16,0.6363636363636364,28,0,490,163,0.3326530612244898,1.0,73.48648299122526,0.09796424180287662,0.06441812813720943,0.7334594256205763,0.6283752513928964,0.0,0,0,0,0.0,0,0.9917731306049973,0.009917731306049973,152.0,152.0,0.0,1.0,1.0,152.0,1.0,152.0,0.0,0.0,152.0,1252.0,1176.0,0.599999999999999,0.399999999999999,91.19999999999985,60.79999999999985,152.0
3,proactive_heuristic,44,28,16,0.6363636363636364,28,0,490,256,0.5224489795918368,0.9,81.93834371011684,0.09796424180287662,0.07030922091463462,0.7334594256205763,0.6283752513928964,0.3427466282155365,0,0,0,0.0,0,1.390620734775439,0.01390620734775439,217.0,193.0,0.6215445810871306,0.9971033574720211,0.8865042791310073,192.37142857142857,0.8894009216589862,193.0,0.6016437679295391,0.019900813157591932,193.0,1479.0,1363.0,0.5316655694535861,0.3548387096774195,115.3714285714282,77.00000000000003,142.0
3,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08797474514552,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,2.1219470822252333,227,227,0,0.0,0,2.7131523238494992,0.027131523238494992,1.0,1.0,0.5056724846363068,1.0,1.0,1.0,1.0,1.0,0.5002431670824686,0.014402558406194088,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
3,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,490,248,0.5061224489795918,1.0,83.08028853189424,0.09796424180287662,0.07166547419420712,0.7334594256205763,0.6283752513928964,2.0898904488421977,226,46,0,0.0,0,2.672112088650465,0.02672112088650465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,static,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.84493517356128,0.09005986971597624,0.06789905522694434,0.7331691325714789,0.6282531488883186,0.0,0,0,0,0.0,0,0.3961643779184669,0.003961643779184669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,reactive_full,44,28,16,0.6363636363636364,28,0,474,194,0.4092827004219409,1.0,78.14437521434976,0.09005986971597624,0.06882721374899405,0.7331691325714789,0.6282531488883186,0.0,0,0,0,0.0,0,1.1362409859430045,0.011362409859430045,174.0,174.0,0.0,1.0,0.9991288086115672,173.8484126984127,1.0,174.0,0.0,0.0,174.0,1467.0,1399.0,0.5999999999999984,0.3991288086115668,104.39999999999972,69.44841269841262,174.0
4,proactive_heuristic,44,28,16,0.6363636363636364,28,0,474,258,0.5443037974683544,0.9514767932489452,80.72995446738429,0.09005986971597624,0.07192936628955969,0.7331691325714789,0.6282531488883186,0.32344609615392983,0,0,0,0.0,0,1.3147485076915473,0.013147485076915473,202.0,178.0,0.6224294545824176,1.0,0.8811881188118812,178.0,0.8811881188118812,178.0,0.6033638839841906,0.019065570598226673,178.0,1377.0,1261.0,0.5287128712871272,0.3524752475247521,106.7999999999997,71.19999999999993,142.0
4,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.69783740444429,0.09005986971597624,0.06761514783404216,0.7331691325714789,0.6282531488883186,2.108246642863378,206,206,0,0.0,0,2.6951072851661593,0.02695107285166159,3.0,3.0,0.5144945234060287,1.0,1.0,3.0,1.0,3.0,0.4721779541836844,0.05113845566908517,3.0,6.0,3.0,0.6,0.4000000000000001,1.7999999999999998,1.2000000000000002,0.0
4,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,474,255,0.5379746835443038,1.0,78.84493517356128,0.09005986971597624,0.06789905522694434,0.7331691325714789,0.6282531488883186,2.1049841619096696,212,46,0,0.0,0,2.60377569263801,0.026037756926380096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,static,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.4291746718536,0.09345797632983968,0.07566818250335623,0.7338501585851263,0.6286157539220847,0.0,0,0,0,0.0,0,0.4063325417228043,0.004063325417228043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,reactive_full,44,28,16,0.6363636363636364,28,0,503,219,0.43538767395626243,1.0,77.71641269456572,0.09345797632983968,0.0676234236734369,0.7338501585851263,0.6286157539220847,0.0,0,0,0,0.0,0,1.1262466742191464,0.011262466742191463,180.0,180.0,0.0,1.0,0.9995555555555556,179.92000000000002,1.0,180.0,0.0,0.0,180.0,1466.0,1359.0,0.5999999999999983,0.39955555555555533,107.99999999999969,71.91999999999996,180.0
5,proactive_heuristic,44,27,17,0.6136363636363636,27,0,482,333,0.6908713692946058,0.8755186721991701,88.29784626552681,0.08791394776151257,0.07192073495594149,0.7338501585851263,0.6286157539220847,0.3334022418130189,0,0,0,0.0,0,1.4208376279566437,0.014208376279566438,224.0,198.0,0.6256426395403322,1.0,0.8839285714285714,198.0,0.8839285714285714,198.0,0.6055281668459013,0.020114472694431017,198.0,1554.0,1433.0,0.530357142857141,0.35357142857142876,118.79999999999959,79.20000000000005,170.0
5,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.30755108010743,0.09345797632983968,0.0754118561279804,0.7338501585851263,0.6286157539220847,2.09825858916156,225,225,0,0.0,0,2.7004714992363006,0.027004714992363007,1.0,1.0,0.5075480490922928,1.0,1.0,1.0,1.0,1.0,0.4798364887634913,0.0371835629145304,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
5,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,503,335,0.6660039761431411,1.0,86.30755108010743,0.09345797632983968,0.0754118561279804,0.7338501585851263,0.6286157539220847,2.0956613330636173,225,48,0,0.0,0,2.6841183200012892,0.026841183200012893,1.0,1.0,0.5075480490922928,1.0,1.0,1.0,1.0,1.0,0.4798364887634913,0.0371835629145304,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
6,static,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,87.02053212914582,0.09479992305334642,0.06792364177812013,0.7334322425993802,0.6285315777016222,0.0,0,0,0,0.0,0,0.41953760804608464,0.004195376080460846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,reactive_full,44,28,16,0.6363636363636364,28,0,451,190,0.4212860310421286,0.9844789356984479,84.03491349647787,0.09479992305334642,0.06669514146350357,0.7334322425993802,0.6285315777016222,0.0,0,0,0,0.0,0,1.0427545518614352,0.010427545518614351,149.0,149.0,0.0,1.0,0.9997017151379567,148.95555555555555,1.0,149.0,0.0,0.0,149.0,1298.0,1226.0,0.5999999999999991,0.3997017151379558,89.39999999999986,59.555555555555415,149.0
6,proactive_heuristic,44,28,16,0.6363636363636364,28,0,451,279,0.6186252771618626,0.9135254988913526,91.79897403729014,0.09479992305334642,0.07394096076918105,0.7334322425993802,0.6285315777016222,0.33871745644137263,0,0,0,0.0,0,1.3801084337756038,0.013801084337756038,202.0,178.0,0.6229155482533156,1.0,0.8811881188118812,178.0,0.8811881188118812,178.0,0.6037311402512043,0.01918440800211105,178.0,1424.0,1336.0,0.5287128712871272,0.3524752475247521,106.7999999999997,71.19999999999993,151.0
6,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,86.92438584310995,0.09479992305334642,0.06786600820446415,0.7334322425993802,0.6285315777016222,2.1150096224155277,205,205,0,0.0,0,2.7310913000255823,0.027310913000255822,3.0,3.0,0.5076895207166672,1.0,1.0,3.0,1.0,3.0,0.48031444516446853,0.036941584613588076,3.0,6.0,3.0,0.6,0.4000000000000001,1.7999999999999998,1.2000000000000002,0.0
6,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,451,256,0.5676274944567627,0.9889135254988913,87.02053212914582,0.09479992305334642,0.06792364177812013,0.7334322425993802,0.6285315777016222,2.092639646725729,210,39,0,0.0,0,2.5878562056459486,0.025878562056459487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,static,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.71292958600198,0.0861473900721991,0.05999749265668928,0.7333168249461752,0.6283953800927532,0.0,0,0,0,0.0,0,0.49586992687545717,0.004958699268754572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,reactive_full,44,28,16,0.6363636363636364,28,0,434,228,0.5253456221198156,1.0,78.95444650151173,0.0861473900721991,0.059734182206308765,0.7333168249461752,0.6283953800927532,0.0,0,0,0,0.0,0,1.1597131425514817,0.011597131425514818,201.0,201.0,0.0,1.0,1.0,201.0,1.0,201.0,0.0,0.0,201.0,1583.0,1470.0,0.5999999999999979,0.4000000000000003,120.59999999999957,80.40000000000006,201.0
7,proactive_heuristic,44,28,16,0.6363636363636364,28,0,434,307,0.7073732718894009,0.9262672811059908,83.98738591848831,0.0861473900721991,0.061775470594790424,0.7333168249461752,0.6283953800927532,0.3337266587186605,0,0,0,0.0,0,1.2654152198228985,0.012654152198228985,177.0,156.0,0.6328604897478668,1.0,0.8813559322033898,156.0,0.8813559322033898,156.0,0.6138579897110148,0.019002500036852464,156.0,1210.0,1125.0,0.5288135593220329,0.35254237288135504,93.59999999999982,62.39999999999984,127.0
7,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.89321027470996,0.0861473900721991,0.060240263214869,0.7333168249461752,0.6283953800927532,2.0918713866267353,198,198,0,0.0,0,2.6767141609452665,0.026767141609452663,1.0,1.0,0.5024002492427826,0.4,0.4,0.4,1.0,1.0,0.49313690265019733,0.018664290507634462,1.0,1.0,1.0,0.19999999999999998,0.2,0.19999999999999998,0.2,0.0
7,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,434,309,0.7119815668202765,1.0,84.71292958600198,0.0861473900721991,0.05999749265668928,0.7333168249461752,0.6283953800927532,2.122442777035758,198,41,0,0.0,0,2.614811090985313,0.02614811090985313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,static,44,28,16,0.6363636363636364,28,0,407,179,0.4398034398034398,1.0,78.21408094043063,0.06723433322287269,0.05542063971408643,0.7325683986292839,0.628461369193987,0.0,0,0,0,0.0,0,0.4786260740365833,0.004786260740365833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,reactive_full,44,28,16,0.6363636363636364,28,0,407,113,0.27764127764127766,1.0,74.31914009599213,0.06723433322287269,0.053821543449874484,0.7325683986292839,0.628461369193987,0.0,0,0,0,0.0,0,0.8464598685968667,0.008464598685968668,113.0,113.0,0.0,1.0,0.9989886219974715,112.88571428571429,1.0,113.0,0.0,0.0,113.0,975.0,873.0,0.6000000000000006,0.39898862199747076,67.80000000000007,45.0857142857142,113.0
8,proactive_heuristic,44,28,16,0.6363636363636364,28,0,407,174,0.4275184275184275,0.9385749385749386,78.53217124109665,0.06723433322287269,0.0570165626837936,0.7325683986292839,0.628461369193987,0.33728753542527556,0,0,0,0.0,0,1.1923451134935021,0.011923451134935021,163.0,145.0,0.6284037611592109,1.0,0.8895705521472392,145.0,0.8895705521472392,145.0,0.6077637627222388,0.020639998436972465,145.0,1084.0,939.0,0.5337423312883428,0.3558282208588948,86.99999999999989,57.99999999999986,99.0
8,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,407,179,0.4398034398034398,1.0,77.67066248515351,0.06723433322287269,0.05500446854328525,0.7325683986292839,0.628461369193987,2.104069790802896,166,166,0,0.0,0,2.6838705057743937,0.026838705057743936,1.0,1.0,0.5002698451280594,1.0,1.0,1.0,1.0,1.0,0.4752497871716817,0.03879477580388385,1.0,2.0,1.0,0.6,0.4,0.6,0.4,0.0
8,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,407,179,0.4398034398034398,1.0,78.21408094043063,0.06723433322287269,0.05542063971408643,0.7325683986292839,0.628461369193987,2.0592619392555207,173,42,0,0.0,0,2.550402962602675,0.02550402962602675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,static,44,28,16,0.6363636363636364,28,0,410,223,0.5439024390243903,1.0,84.2828486209603,0.07179354651042034,0.0584515871871871,0.7339974206751697,0.6283003466790629,0.0,0,0,0,0.0,0,0.48387301131151617,0.004838730113115162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,reactive_full,44,28,16,0.6363636363636364,28,0,410,200,0.4878048780487805,0.9878048780487805,82.73152278929611,0.07179354651042034,0.05629722189379421,0.7339974206751697,0.6283003466790629,0.0,0,0,0,0.0,0,1.1246008058078587,0.011246008058078587,185.0,185.0,0.0,1.0,0.9997297297297296,184.95,1.0,185.0,0.0,0.0,185.0,1540.0,1454.0,0.5999999999999982,0.39972972972972953,110.99999999999966,73.94999999999996,185.0
9,proactive_heuristic,44,28,16,0.6363636363636364,28,0,410,225,0.5487804878048781,0.9365853658536586,83.86901353841814,0.07179354651042034,0.05779605597784742,0.7339974206751697,0.6283003466790629,0.3241723880637437,0,0,0,0.0,0,1.251651433063671,0.01251651433063671,179.0,164.0,0.6272548767853746,1.0,0.9162011173184358,164.0,0.9162011173184358,164.0,0.6055283198757296,0.021726556909645117,164.0,1240.0,1149.0,0.5497206703910602,0.36648044692737347,98.39999999999978,65.59999999999985,127.0
9,stgcn_all_risky,44,28,16,0.6363636363636364,28,0,410,223,0.5439024390243903,1.0,83.8141406611307,0.07179354651042034,0.058177252120058726,0.7339974206751697,0.6283003466790629,2.1203156823758036,172,172,0,0.0,0,2.693990110885352,0.02693990110885352,3.0,3.0,0.5052511791388193,1.0,1.0,3.0,1.0,3.0,0.4746356474028693,0.039972914589775956,3.0,6.0,3.0,0.6,0.4000000000000001,1.7999999999999998,1.2000000000000002,0.0
9,stgcn_topk_heuristic,44,28,16,0.6363636363636364,28,0,410,223,0.5439024390243903,1.0,83.8141406611307,0.07179354651042034,0.058177252120058726,0.7339974206751697,0.6283003466790629,2.1170990020036697,172,44,0,0.0,0,2.6196544517297298,0.026196544517297297,3.0,3.0,0.5052511791388193,1.0,1.0,3.0,1.0,3.0,0.4746356474028693,0.039972914589775956,3.0,6.0,3.0,0.6,0.4000000000000001,1.7999999999999998,1.2000000000000002,0.0
